YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1881,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,4.55,2.34,999.9,999.9,999.9,999.9,999.9
1882,-3.95,-0.08,0.73,4.25,9.26,16.68,19.54,19.97,16.52,12.59,2.91,-2.71,-0.56,4.75,18.73,10.67,8.4
1883,-6.65,-5.12,-4.56,4.5,10.01,18.08,19.29,18.66,14.12,8.73,5.86,0.39,-4.83,3.32,18.68,9.57,6.68
1884,-8.45,-3.03,-1.57,4.25,11.42,19.18,18.45,19.87,18.42,10.84,2.96,-1.51,-3.7,4.7,19.17,10.74,7.73
1885,-6.75,-10.13,-6.72,4.5,12.02,15.97,21.09,18.22,15.42,9.74,4.56,-0.85,-6.13,3.27,18.43,9.91,6.37
1886,-5.7,-4.72,-0.23,8.15,11.87,17.33,19.95,19.41,17.12,10.99,3.01,-4.51,-3.76,6.6,18.9,10.37,8.03
1887,-5.75,-3.48,-2.27,4.54,17.11,19.42,24.33,20.36,15.26,8.93,3.6,-0.47,-4.58,6.46,21.37,9.26,8.13
1888,-7.76,-4.44,-3.23,4.04,12.46,18.57,20.39,20.26,15.26,7.48,4.8,-0.52,-4.22,4.42,19.74,9.18,7.28
1889,-1.3,-7.44,1.02,6.44,12.9,17.07,21.54,20.01,17.26,7.48,4.8,3.18,-3.09,6.79,19.54,9.85,8.27
1890,0.34,-0.23,-1.38,6.64,11.41,19.62,21.34,19.15,15.76,10.18,4.15,-3.48,1.1,5.56,20.04,10.03,9.18
1891,-2.46,-0.79,-0.38,6.58,11.1,19.06,18.98,20.25,18.7,10.21,4.09,2.67,-2.24,5.77,19.43,11,8.49
1892,-5.17,-2.04,-1.84,5.28,11.7,19.56,21.53,21.35,17,10.31,2.54,-2.63,-1.51,5.05,20.81,9.95,8.57
1893,-8.57,-5.95,-0.63,5.07,11.85,20.06,21.57,20.75,15.9,12.12,4.53,-2.33,-5.72,5.43,20.79,10.85,7.84
1894,-0.87,-5.05,4.01,7.43,12.9,19.06,21.98,19.85,18.79,12.32,2.29,0.71,-2.75,8.11,20.3,11.13,9.2
1895,-5.17,-8.55,-2.59,7.27,13.85,20.86,20.48,20.85,18.45,999.9,999.9,999.9,-4.34,6.18,20.73,999.9,8.22
1896,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1897,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1898,-2.21,-2.6,5.26,6.43,14.05,19.95,23.23,22.05,19.45,12.42,4.14,-1.33,-1.47,8.58,21.74,12,10.21
1899,-3.82,-5.95,0.11,8.68,13.8,19.5,21.58,22.5,15.95,13.42,5.54,-0.38,-3.7,7.53,21.19,11.64,9.16
1900,-2.51,-4.7,-3.48,6.53,14.1,19.41,21.82,23.15,19.65,15.96,5.34,-0.23,-2.53,5.72,21.46,13.65,9.57
1901,-3.17,-7.8,0.56,7.77,12.7,19.31,23.73,22.3,18.1,11.71,2.34,-1.48,-3.73,7.01,21.78,10.72,8.94
1902,-4.12,-5.4,4.21,7.38,12.95,16.75,21.48,19.8,18.15,11.07,8.79,-2.39,-3.67,8.18,19.34,12.67,9.13
1903,-3.38,-2.76,5.45,6.97,16.13,17.25,20.97,19.29,17.99,11.95,3.08,-3.54,-2.84,9.52,19.17,11.01,9.21
